Uniprot_Id,Protein_Name,Gene_Name
Q9NPJ3,"Acyl-coenzyme A thioesterase 13, Acyl-CoA thioesterase 13, EC 3.1.2.- (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase, EC 3.1.2.2) (Thioesterase superfamily member 2, THEM2) [Cleaved into: Acyl-coenzyme A thioesterase 13, N-terminally processed ]",ACOT13
P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial, Acyl-CoA thioesterase 2, EC 3.1.2.2 (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)",ACOT2
O00154,"Cytosolic acyl coenzyme A thioester hydrolase, EC 3.1.2.2 (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase, BACH, hBACH) (CTE-IIa, CTE-II) (Long chain acyl-CoA thioester hydrolase)",ACOT7
Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial, Acyl-CoA thioesterase 9, EC 3.1.2.- (Acyl-CoA thioester hydrolase 9)",ACOT9
P24666,"Low molecular weight phosphotyrosine protein phosphatase, LMW-PTP, LMW-PTPase, EC 3.1.3.48 (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase, EC 3.1.3.2) (Red cell acid phosphatase 1)",ACP1
P15309,Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39],ACP3 ACPP
P10323,Acrosin (EC 3.4.21.10) [Cleaved into: Acrosin light chain; Acrosin heavy chain],ACR ACRS
Q8NEB7,"Acrosin-binding protein (Acrosin-binding protein, 60 kDa form) (Cancer/testis antigen 23) (CT23) (Cancer/testis antigen OY-TES-1) (Proacrosin-binding protein sp32) [Cleaved into: Acrosin-binding protein, mature form (Acrosin-binding protein, 32 kDa form, mature form)]",ACRBP
Q96CM8,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial, EC 6.2.1.2",ACSF2
P33121,"Long-chain-fatty-acid--CoA ligase 1, EC 6.2.1.3 (Acyl-CoA synthetase 1, ACS1) (Arachidonate--CoA ligase, EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1, LACS 1) (Long-chain acyl-CoA synthetase 2, LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2) (Phytanate--CoA ligase, EC 6.2.1.24)",ACSL1
O95573,"Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase, EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3, LACS 3) (Long-chain-fatty-acid--CoA ligase 3, EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3, EC 6.2.1.2)",ACSL3
O60488,"Long-chain-fatty-acid--CoA ligase 4, EC 6.2.1.3 (Arachidonate--CoA ligase, EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4, LACS 4)",ACSL4
P68133,"Actin, alpha skeletal muscle (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form ]",ACTA1
P62736,"Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form ]",ACTA2
P60709,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed ]",ACTB
P68032,"Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form ]",ACTC1
P63261,"Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed ]",ACTG1
O96019,"Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A, BAF53A) (INO80 complex subunit K)",ACTL6A
P12814,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),ACTN1
O43707,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4
Q9NZ32,"Actin-related protein 10 (Actin-related protein 11, hARP11)",ACTR10
P61163,"Alpha-centractin, Centractin (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)",ACTR1A
P42025,"Beta-centractin (Actin-related protein 1B, ARP1B)",ACTR1B
P61160,Actin-related protein 2 (Actin-like protein 2),ACTR2
P61158,Actin-related protein 3 (Actin-like protein 3),ACTR3
Q03154,"Aminoacylase-1, ACY-1, EC 3.5.1.14 (N-acyl-L-amino-acid amidohydrolase)",ACY1
P07311,"Acylphosphatase-1, EC 3.6.1.7 (Acylphosphatase, erythrocyte isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)",ACYP1
O14672,"Disintegrin and metalloproteinase domain-containing protein 10, ADAM 10, EC 3.4.24.81 (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)",ADAM10
Q9UHI8,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-) (METH-1),ADAMTS1 KIAA1346 METH1
P55265,"Double-stranded RNA-specific adenosine deaminase, DRADA, EC 3.5.4.37 (136 kDa double-stranded RNA-binding protein, p136) (Interferon-inducible protein 4, IFI-4) (K88DSRBP)",ADAR
P35611,Alpha-adducin (Erythrocyte adducin subunit alpha),ADD1
P35612,Beta-adducin (Erythrocyte adducin subunit beta),ADD2
Q9UEY8,Gamma-adducin (Adducin-like protein 70),ADD3
Q9Y653,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)],ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083
Q8IZP9,Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6),ADGRG2 GPR64 HE6 TM7LN2
O95490,"Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2, CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1)",ADGRL2
P00325,"All-trans-retinol dehydrogenase [NAD(+)] ADH1B, EC 1.1.1.105 (Alcohol dehydrogenase 1B) (Alcohol dehydrogenase subunit beta)",ADH1B
P00326,"Alcohol dehydrogenase 1C, EC 1.1.1.1 (Alcohol dehydrogenase subunit gamma)",ADH1C
P11766,"Alcohol dehydrogenase class-3, EC 1.1.1.1 (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase, FALDH, FDH, GSH-FDH, EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase, EC 1.1.1.284)",ADH5
P40394,"All-trans-retinol dehydrogenase [NAD(+)] ADH7, EC 1.1.1.105 (Alcohol dehydrogenase class 4 mu/sigma chain, EC 1.1.1.1) (Alcohol dehydrogenase class IV mu/sigma chain) (Gastric alcohol dehydrogenase) (Omega-hydroxydecanoate dehydrogenase ADH7, EC 1.1.1.66) (Retinol dehydrogenase)",ADH7
Q15847,"Adipogenesis regulatory factor (Adipogenesis factor rich in obesity) (Adipose most abundant gene transcript 2 protein) (Adipose-specific protein 2, apM-2)",ADIRF
P55263,"Adenosine kinase, AK, EC 2.7.1.20 (Adenosine 5'-phosphotransferase)",ADK
Q9BRR6,"ADP-dependent glucokinase, ADP-GK, ADPGK, EC 2.7.1.147 (RbBP-35)",ADPGK
Q9NX46,"ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3, EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3, EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase, EC 3.2.2.-)",ADPRS
Q16186,"Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein, Gp110) (Adhesion-regulating molecule 1, ARM-1) (Proteasome regulatory particle non-ATPase 13, hRpn13) (Rpn13 homolog)",ADRM1
P30566,"Adenylosuccinate lyase, ADSL, ASL, EC 4.3.2.2 (Adenylosuccinase, ASase)",ADSL
P30520,"Adenylosuccinate synthetase isozyme 2, AMPSase 2, AdSS 2, EC 6.3.4.4 (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme, L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)",ADSS2
Q8IUX7,"Adipocyte enhancer-binding protein 1, AE-binding protein 1 (Aortic carboxypeptidase-like protein)",AEBP1
P55196,"Afadin (ALL1-fused gene from chromosome 6 protein, Protein AF-6) (Afadin adherens junction formation factor)",AFDN
P43652,"Afamin (Alpha-albumin, Alpha-Alb)",AFM
P20933,"N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase, EC 3.5.1.26 (Aspartylglucosaminidase) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain ]",AGA
Q15109,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),AGER
P35573,"Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase, EC 2.4.1.25 (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase, Amylo-1,6-glucosidase, EC 3.2.1.33 (Dextrin 6-alpha-D-glucosidase) ]",AGL
Q9UKV8,"Protein argonaute-2, Argonaute2, hAgo2, EC 3.1.26.n2 (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2, eIF-2C 2, eIF2C 2) (PAZ Piwi domain protein, PPD) (Protein slicer)",AGO2
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal, Alkyl-DHAP synthase, EC 2.5.1.26 (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",AGPS
O95994,"Anterior gradient protein 2 homolog, AG-2, hAG-2 (HPC8) (Secreted cement gland protein XAG-2 homolog)",AGR2
Q8TD06,"Anterior gradient protein 3, AG-3, AG3, hAG-3 (Anterior gradient 3 homolog) (Breast cancer membrane protein 11) (Protein disulfide isomerase family A, member 18)",AGR3
O00468,"Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment, C90; Agrin C-terminal 22 kDa fragment, C22 ]",AGRN
P01019,"Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I, Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II, Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III, Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV, Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4 ]",AGT
P23526,"Adenosylhomocysteinase, AdoHcyase, EC 3.3.1.1 (S-adenosyl-L-homocysteine hydrolase)",AHCY
O43865,"S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3), IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2, AdoHcyase 2)",AHCYL1
Q09666,Neuroblast differentiation-associated protein AHNAK (Desmoyokin),AHNAK
Q8IVF2,Protein AHNAK2,AHNAK2
O95433,"Activator of 90 kDa heat shock protein ATPase homolog 1, AHA1 (p38)",AHSA1
P02765,Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B ],AHSG
Q9NZD4,Alpha-hemoglobin-stabilizing protein (Erythroid differentiation-related factor) (Erythroid-associated factor),AHSP
Q96BJ3,"Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)",AIDA
O95831,"Apoptosis-inducing factor 1, mitochondrial, EC 1.6.99.- (Programmed cell death protein 8)",AIFM1
Q12904,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2, EMAP-2 (Endothelial monocyte-activating polypeptide II, EMAP-II) (Small inducible cytokine subfamily E member 1) ]",AIMP1
P00568,"Adenylate kinase isoenzyme 1, AK 1, EC 2.7.4.3, EC 2.7.4.6 (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)",AK1
P54819,"Adenylate kinase 2, mitochondrial, AK 2, EC 2.7.4.3 (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed ]",AK2
Q9UIJ7,"GTP:AMP phosphotransferase AK3, mitochondrial, EC 2.7.4.10 (Adenylate kinase 3, AK 3) (Adenylate kinase 3 alpha-like 1)",AK3
Q02952,"A-kinase anchor protein 12, AKAP-12 (A-kinase anchor protein 250 kDa, AKAP 250) (Gravin) (Myasthenia gravis autoantigen)",AKAP12
Q9Y2D5,"A-kinase anchor protein 2, AKAP-2 (AKAP-KL) (Protein kinase A-anchoring protein 2, PRKA2)",AKAP2
O75969,A-kinase anchor protein 3 (AKAP-3) (A-kinase anchor protein 110 kDa) (AKAP 110) (Cancer/testis antigen 82) (CT82) (Fibrous sheath protein of 95 kDa) (FSP95) (Fibrousheathin I) (Fibrousheathin-1) (Protein kinase A-anchoring protein 3) (PRKA3) (Sperm oocyte-binding protein),AKAP3 AKAP110 SOB1
Q5JQC9,A-kinase anchor protein 4 (AKAP-4) (A-kinase anchor protein 82 kDa) (AKAP 82) (hAKAP82) (Major sperm fibrous sheath protein) (HI) (Protein kinase A-anchoring protein 4) (PRKA4),AKAP4 AKAP82
P14550,"Aldo-keto reductase family 1 member A1, EC 1.1.1.2, EC 1.1.1.372, EC 1.1.1.54 (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase, EC 1.1.1.19) (Glucuronolactone reductase, EC 1.1.1.20)",AKR1A1
P15121,"Aldo-keto reductase family 1 member B1, EC 1.1.1.300, EC 1.1.1.372, EC 1.1.1.54 (Aldehyde reductase) (Aldose reductase, AR, EC 1.1.1.21)",AKR1B1
O60218,"Aldo-keto reductase family 1 member B10, EC 1.1.1.300, EC 1.1.1.54 (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein, ARP, hARP) (Small intestine reductase, SI reductase)",AKR1B10
Q04828,"Aldo-keto reductase family 1 member C1, EC 1.1.1.-, EC 1.1.1.112, EC 1.1.1.209, EC 1.1.1.210, EC 1.1.1.357, EC 1.1.1.51, EC 1.1.1.53, EC 1.1.1.62, EC 1.3.1.20 (20-alpha-hydroxysteroid dehydrogenase, 20-alpha-HSD, EC 1.1.1.149) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1, DD1) (High-affinity hepatic bile acid-binding protein, HBAB)",AKR1C1
P52895,"Aldo-keto reductase family 1 member C2, EC 1.-.-.-, EC 1.1.1.112, EC 1.1.1.209, EC 1.1.1.53, EC 1.1.1.62, EC 1.3.1.20 (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2, DD-2, DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein, DD/BABP) (Type III 3-alpha-hydroxysteroid dehydrogenase, EC 1.1.1.357)",AKR1C2
P42330,"Aldo-keto reductase family 1 member C3, EC 1.1.1.-, EC 1.1.1.210, EC 1.1.1.53, EC 1.1.1.62 (17-beta-hydroxysteroid dehydrogenase type 5, 17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2, 3-alpha-HSD type 2, EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3, DD-3, DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Prostaglandin F synthase, PGFS, EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5, EC 1.1.1.239, EC 1.1.1.64)",AKR1C3
P51857,"Aldo-keto reductase family 1 member D1, EC 1.3.1.3 (3-oxo-5-beta-steroid 4-dehydrogenase) (Delta(4)-3-ketosteroid 5-beta-reductase) (Delta(4)-3-oxosteroid 5-beta-reductase)",AKR1D1
O43488,"Aflatoxin B1 aldehyde reductase member 2, EC 1.1.1.n11 (AFB1 aldehyde reductase 1, AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase, SSA reductase)",AKR7A2
P13716,"Delta-aminolevulinic acid dehydratase, ALADH, EC 4.2.1.24 (Porphobilinogen synthase)",ALAD
Q13740,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),ALCAM
Q8IZ83,Aldehyde dehydrogenase family 16 member A1,ALDH16A1
P00352,"Aldehyde dehydrogenase 1A1, EC 1.2.1.19, EC 1.2.1.28, EC 1.2.1.3, EC 1.2.1.36 (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1, RALDH 1, RalDH1)",ALDH1A1
P47895,Aldehyde dehydrogenase family 1 member A3 (EC 1.2.1.36) (Aldehyde dehydrogenase 6) (Retinaldehyde dehydrogenase 3) (RALDH-3) (RalDH3),ALDH1A3 ALDH6
P30837,"Aldehyde dehydrogenase X, mitochondrial, EC 1.2.1.3 (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)",ALDH1B1
O75891,"Cytosolic 10-formyltetrahydrofolate dehydrogenase, 10-FTHFDH, FDH, EC 1.5.1.6 (Aldehyde dehydrogenase family 1 member L1)",ALDH1L1
P05091,"Aldehyde dehydrogenase, mitochondrial, EC 1.2.1.3 (ALDH class 2) (ALDH-E2) (ALDHI)",ALDH2
P30838,"Aldehyde dehydrogenase, dimeric NADP-preferring, EC 1.2.1.5 (ALDHIII) (Aldehyde dehydrogenase 3) (Aldehyde dehydrogenase family 3 member A1)",ALDH3A1
P51648,"Aldehyde dehydrogenase family 3 member A2, EC 1.2.1.3, EC 1.2.1.94 (Aldehyde dehydrogenase 10) (Fatty aldehyde dehydrogenase) (Microsomal aldehyde dehydrogenase)",ALDH3A2
P43353,"Aldehyde dehydrogenase family 3 member B1, EC 1.2.1.28, EC 1.2.1.5, EC 1.2.1.7 (Aldehyde dehydrogenase 7)",ALDH3B1
P30038,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial, P5C dehydrogenase, EC 1.2.1.88 (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)",ALDH4A1
P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial, EC 1.2.1.24 (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)",ALDH5A1
Q02252,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial, MMSDH, Malonate-semialdehyde dehydrogenase [acylating], EC 1.2.1.18, EC 1.2.1.27 (Aldehyde dehydrogenase family 6 member A1)",ALDH6A1
P49419,"Alpha-aminoadipic semialdehyde dehydrogenase, Alpha-AASA dehydrogenase, EC 1.2.1.31 (Aldehyde dehydrogenase family 7 member A1, EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase, EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase, P6c dehydrogenase)",ALDH7A1
P49189,"4-trimethylaminobutyraldehyde dehydrogenase, TMABA-DH, TMABALDH, EC 1.2.1.47 (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1, EC 1.2.1.3) (Gamma-aminobutyraldehyde dehydrogenase, EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed ]",ALDH9A1
P04075,"Fructose-bisphosphate aldolase A, EC 4.1.2.13 (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)",ALDOA
P05062,"Fructose-bisphosphate aldolase B, EC 4.1.2.13 (Liver-type aldolase)",ALDOB
P09972,"Fructose-bisphosphate aldolase C, EC 4.1.2.13 (Brain-type aldolase)",ALDOC
P16050,"Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type, 12-LOX, EC 1.13.11.31) (Arachidonate 15-lipoxygenase, 15-LOX, 15-LOX-1, EC 1.13.11.33) (Arachidonate omega-6 lipoxygenase) (Hepoxilin A3 synthase Alox15, EC 1.13.11.-) (Linoleate 13S-lipoxygenase, EC 1.13.11.12)",ALOX15
O15296,Polyunsaturated fatty acid lipoxygenase ALOX15B (15-lipoxygenase 2) (15-LOX-2) (Arachidonate 15-lipoxygenase B) (15-LOX-B) (EC 1.13.11.33) (Arachidonate 15-lipoxygenase type II) (Linoleate 13-lipoxygenase 15-LOb) (EC 1.13.11.-),ALOX15B
P20292,Arachidonate 5-lipoxygenase-activating protein (FLAP) (MK-886-binding protein),ALOX5AP
P05186,"Alkaline phosphatase, tissue-nonspecific isozyme, AP-TNAP, TNS-ALP, TNSALP, EC 3.1.3.1 (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase, EC 3.9.1.1)",ALPL
Q86V81,"THO complex subunit 4, Tho4 (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)",ALYREF
P02760,"Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin, EC 1.6.2.- (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain, ITI-LC (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin ]",AMBP
