Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9
A0A0C4DH43,Immunoglobulin heavy variable 2-70D,IGHV2-70D,5696,0,98416,47742,11187,34431,4731,0,27677
A0A0C4DH67,Immunoglobulin kappa variable 1-8,IGKV1-8,7182,1299,57565,4499,41758,35557,11444,19441,22165
A0A0C4DH68,Immunoglobulin kappa variable 2-24,IGKV2-24,25754,5663,42847,1422,66285,3852,57424,42189,24339
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,IGHV3-64D,31587,45667,33614,17674,0,38283,2539,1481,0
A2NJV5,Immunoglobulin kappa variable 2-29,IGKV2-29,58476,26794,45895,52196,14763,76268,5832,249,26573
A6NMB1,"Sialic acid-binding Ig-like lectin 16, Siglec-16 (Siglec-P16)",SIGLEC16,3111,4717,17612,55417,67856,1398,94623,13826,2748
B9A064,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,2241,24,35389,18483,25726,13382,16883,64426,11515
E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form, skNAC)",NACA,0,8478,41645,6796,12349,21556,0,79741,2223
K7EJ46,Small integral membrane protein 22 (Cancer-associated small integral membrane open reading frame 1),SMIM22,12163,4568,26922,43675,24244,38394,14273,1736,2665
O00299,"Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27, NCC27) (Regulatory nuclear chloride ion channel protein, hRNCC)",CLIC1,16313,62189,41679,29772,7144,2662,79765,13259,1122
O00391,"Sulfhydryl oxidase 1, hQSOX, EC 1.8.3.2 (Quiescin Q6)",QSOX1,33589,46939,548,26883,72295,34656,68679,4763,43649
O00560,"Syntenin-1 (Melanoma differentiation-associated protein 9, MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18, TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)",SDCBP,7129,15675,2473,82187,237,1518,2279,2394,15339
O00584,"Ribonuclease T2, EC 4.6.1.19 (Ribonuclease 6)",RNASET2,73479,17744,2875,1253,12917,18253,36372,18137,19811
O00754,"Lysosomal alpha-mannosidase, Laman, EC 3.2.1.24 (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide ]",MAN2B1,12472,12816,36591,0,36218,85937,13655,0,25895
O00757,"Fructose-1,6-bisphosphatase isozyme 2, FBPase 2, EC 3.1.3.11 (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)",FBP2,46883,18248,78921,44472,2367,14151,215,49634,22123
O14745,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1, NHERF-1 (Ezrin-radixin-moesin-binding phosphoprotein 50, EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)",SLC9A3R1,19592,5276,66876,22923,64621,11277,64651,525,47538
O14773,"Tripeptidyl-peptidase 1, TPP-1, EC 3.4.14.9 (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease, LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I, TPP-I)",TPP1,16534,18762,82415,22394,3124,16911,1727,38597,21651
O14818,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7),PSMA7,26566,376,4117,3449,25333,34991,3975,34926,48533
O15143,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),ARPC1B,475,75178,76335,2548,34538,67174,18283,1246,12163
O15144,"Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit, p34-ARC)",ARPC2,9439,44976,53179,1713,17452,54917,13225,86874,5829
O15145,"Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit, p21-ARC)",ARPC3,13282,25867,44947,25113,21573,4583,14857,88559,83474
O15400,Syntaxin-7,STX7,17496,0,14961,0,74988,1242,21888,13117,1261
O15511,"Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit, p16-ARC)",ARPC5,0,65681,436,2344,18296,48244,19697,1334,67677
O43399,"Tumor protein D54, hD54 (Tumor protein D52-like 2)",TPD52L2,0,1346,31378,61134,58322,63191,8494,5845,28386
O43490,Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133),PROM1,188,34786,78271,34591,4919,31481,51945,11678,2441
O43707,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,4815,1176,191,4239,59691,86568,13857,12757,13884
O43776,"Asparagine--tRNA ligase, cytoplasmic, EC 6.1.1.22 (Asparaginyl-tRNA synthetase, AsnRS) (Asparaginyl-tRNA synthetase 1)",NARS1,0,0,24862,52852,12447,27259,6143,7411,66969
O43866,"CD5 antigen-like (Apoptosis inhibitor expressed by macrophages, hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)",CD5L,3297,9976,1644,1363,8652,1384,32435,19495,49543
O60234,"Glia maturation factor gamma, GMF-gamma",GMFG,0,1954,66549,11129,13965,3996,11217,77132,585
O60635,"Tetraspanin-1, Tspan-1 (Tetraspan NET-1) (Tetraspanin TM4-C)",TSPAN1,27897,1134,61317,5661,47511,44512,23949,1722,6631
O60664,"Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein, 47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17, PP17)",PLIN3,0,38273,24595,12773,1134,31244,333,55914,2372
O60784,Target of Myb protein 1,TOM1,0,23764,14853,25659,32186,96574,34342,51497,11877
O75015,"Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta, CD16-I, Fc-gamma RIII, Fc-gamma RIIIb, FcRIII, FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b)",FCGR3B,8175,65261,0,12424,35455,75363,54718,5311,1142
O75083,"WD repeat-containing protein 1 (Actin-interacting protein 1, AIP1) (NORI-1)",WDR1,1661,6978,5863,24671,35848,1941,12881,148,21487
O75131,Copine-3 (Copine III),CPNE3,1238,19839,1871,38445,742,29213,18286,168,1136
O75150,"E3 ubiquitin-protein ligase BRE1B, BRE1-B, EC 2.3.2.27 (95 kDa retinoblastoma-associated protein, RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)",RNF40,4116,32859,6151,46958,4663,55437,47654,2344,34844
O75223,"Gamma-glutamylcyclotransferase, EC 4.3.2.9 (Cytochrome c-releasing factor 21)",GGCT,0,6999,57718,44652,11361,26232,13375,14947,13384
O75340,"Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog, ALG-2)",PDCD6,3964,1682,95939,91835,7435,1656,9873,12358,1254
O75347,"Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A, CFA)",TBCA,0,1287,18853,15556,13267,46476,42256,26419,35375
O75348,"V-type proton ATPase subunit G 1, V-ATPase subunit G 1 (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)",ATP6V1G1,0,33923,0,3671,429,62554,56915,76111,24561
O75367,"Core histone macro-H2A.1, Histone macroH2A1, mH2A1 (Histone H2A.y, H2A/y) (Medulloblastoma antigen MU-MB-50.205)",MACROH2A1,57126,2584,38292,28422,23198,14775,7712,1949,2621
O75368,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,0,7659,33258,89578,15754,68818,34243,67588,22217
O75369,"Filamin-B, FLN-B (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1, Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein, Truncated ABP)",FLNB,336,648,0,27273,6123,34263,54236,15419,86699
O75594,"Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short, PGRP-S)",PGLYRP1,73259,83539,24243,3222,4263,17,44512,16478,1681
O75691,"Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73, NNP73) (Protein Key-1A6)",UTP20,3499,24688,32587,56638,35937,13221,5639,7574,42496
O75874,"Isocitrate dehydrogenase [NADP] cytoplasmic, IDH, IDH1, EC 1.1.1.42 (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)",IDH1,9687,47482,98488,98393,33281,12884,552,45834,43542
O75882,Attractin (DPPT-L) (Mahogany homolog),ATRN,734,7669,15822,1343,1655,2572,13784,5823,0
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1, DDAH-1, Dimethylarginine dimethylaminohydrolase 1, EC 3.5.3.18 (DDAHI) (Dimethylargininase-1)",DDAH1,0,13183,0,74752,17924,52363,1175,1996,56618
O95197,"Reticulon-3 (Homolog of ASY protein, HAP) (Neuroendocrine-specific protein-like 2, NSP-like protein 2) (Neuroendocrine-specific protein-like II, NSP-like protein II, NSPLII)",RTN3,0,11786,92666,55431,721,17124,337,18925,0
O95336,"6-phosphogluconolactonase, 6PGL, EC 3.1.1.31",PGLS,0,249,17243,82979,154,33854,45587,43224,23359
O95436,"Sodium-dependent phosphate transport protein 2B, Sodium-phosphate transport protein 2B (Na(+)-dependent phosphate cotransporter 2B) (NaPi3b) (Sodium/phosphate cotransporter 2B, Na(+)/Pi cotransporter 2B, NaPi-2b) (Solute carrier family 34 member 2)",SLC34A2,5292,2258,44197,1476,29312,15628,1239,93166,52841
O95834,"Echinoderm microtubule-associated protein-like 2, EMAP-2, HuEMAP-2",EML2,0,57393,33926,98586,14775,28438,1194,1628,91224
O95994,"Anterior gradient protein 2 homolog, AG-2, hAG-2 (HPC8) (Secreted cement gland protein XAG-2 homolog)",AGR2,0,25334,4322,14482,49925,224,4737,55175,71784
O96009,"Napsin-A, EC 3.4.23.- (Aspartyl protease 4, ASP4, Asp 4) (Napsin-1) (TA01/TA02)",NAPSA,25313,12296,14811,54748,3349,47243,98399,45225,4377
P00326,"Alcohol dehydrogenase 1C, EC 1.1.1.1 (Alcohol dehydrogenase subunit gamma)",ADH1C,0,28279,42547,1385,445,67,13931,29357,1792
P00338,"L-lactate dehydrogenase A chain, LDH-A, EC 1.1.1.27 (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit, LDH-M) (Renal carcinoma antigen NY-REN-59)",LDHA,21479,27578,33166,1799,1722,2413,618,46697,23452
P00352,"Aldehyde dehydrogenase 1A1, EC 1.2.1.19, EC 1.2.1.28, EC 1.2.1.3, EC 1.2.1.36 (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1, RALDH 1, RalDH1)",ALDH1A1,21294,28678,17553,52991,12483,1176,6177,1565,82847
P00390,"Glutathione reductase, mitochondrial, GR, GRase, EC 1.8.1.7",GSR,377,46141,61146,16392,18158,4567,46522,51179,262
P00441,"Superoxide dismutase [Cu-Zn], EC 1.15.1.1 (Superoxide dismutase 1, hSod1)",SOD1,6723,23625,21872,87258,21248,3311,96255,27256,11568
P00450,"Ceruloplasmin, EC 1.16.3.1 (Ferroxidase)",CP,4272,2968,5792,5573,36421,32335,16991,3877,12648
P00491,"Purine nucleoside phosphorylase, PNP, EC 2.4.2.1 (Inosine phosphorylase) (Inosine-guanosine phosphorylase)",PNP,35446,61657,4937,26941,18971,35412,94481,62775,56755
P00492,"Hypoxanthine-guanine phosphoribosyltransferase, HGPRT, HGPRTase, EC 2.4.2.8",HPRT1,1957,25341,1554,8682,9321,16334,37565,3499,15979
P00505,"Aspartate aminotransferase, mitochondrial, mAspAT, EC 2.6.1.1, EC 2.6.1.7 (Fatty acid-binding protein, FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein, FABPpm) (Transaminase A)",GOT2,51175,5487,5738,49216,24834,8185,0,21676,19382
P00558,"Phosphoglycerate kinase 1, EC 2.7.2.3 (Cell migration-inducing gene 10 protein) (Primer recognition protein 2, PRP 2)",PGK1,25247,56133,53699,12424,1524,48218,838,63372,42919
P00568,"Adenylate kinase isoenzyme 1, AK 1, EC 2.7.4.3, EC 2.7.4.6 (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)",AK1,0,11711,7294,15224,11819,9348,73241,61376,71992
P00734,"Prothrombin, EC 3.4.21.5 (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain ]",F2,19435,54723,11881,9612,47114,17943,28996,53194,85772
P00736,"Complement C1r subcomponent, EC 3.4.21.41 (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain ]",C1R,11894,5395,87384,87882,59781,4439,88164,73587,1767
P00738,Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain ],HP,28141,1141,34971,21728,44446,86979,4764,16516,17933
P00746,"Complement factor D, EC 3.4.21.46 (Adipsin) (C3 convertase activator) (Properdin factor D)",CFD,184,0,71149,89792,779,48259,623,26744,97183
P00747,"Plasminogen, EC 3.4.21.7 [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B ]",PLG,56422,45667,89215,1278,78455,35,12374,9485,49375
P00748,"Coagulation factor XII, EC 3.4.21.38 (Hageman factor, HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2) ]",F12,36369,37275,1243,1225,21323,5163,11398,23479,41125
P00751,"Complement factor B, EC 3.4.21.47 (C3/C5 convertase) (Glycine-rich beta glycoprotein, GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment ]",CFB,9325,92299,15528,6948,32189,54721,3431,24898,21543
P00915,"Carbonic anhydrase 1, EC 4.2.1.1 (Carbonate dehydratase I) (Carbonic anhydrase B, CAB) (Carbonic anhydrase I, CA-I) (Cyanamide hydratase CA1, EC 4.2.1.69)",CA1,47127,516,52431,3684,12563,58788,21811,14741,2527
P01008,"Antithrombin-III, ATIII (Serpin C1)",SERPINC1,16463,52726,294,27199,16438,3183,6278,22936,2525
P01009,"Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT, SPAAT ]",SERPINA1,13483,17223,27693,1113,49122,1543,32117,53625,4977
P01011,"Alpha-1-antichymotrypsin, ACT (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less ]",SERPINA3,3385,65225,91699,16739,275,13863,1847,4568,45214
P01019,"Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I, Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II, Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III, Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV, Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4 ]",AGT,33452,678,87961,12136,89137,39493,34424,16746,84216
P01023,"Alpha-2-macroglobulin, Alpha-2-M (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)",A2M,65351,25898,2234,38777,26729,7257,27292,36958,3299
P01024,"Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c, C3bc; Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein, ASP (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2 ]",C3,58249,41616,5623,6916,39773,93739,623,61565,37164
P01031,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain ],C5,1434,92676,13228,7343,16566,68946,32542,3436,251
P01033,"Metalloproteinase inhibitor 1 (Erythroid-potentiating activity, EPA) (Fibroblast collagenase inhibitor, Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1, TIMP-1)",TIMP1,58687,82385,17281,54346,19193,11993,11315,94736,59843
P01034,Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin),CST3,46878,84873,2357,2857,18116,16132,19375,8593,1134
P01036,Cystatin-S (Cystatin-4) (Cystatin-SA-III) (Salivary acidic protein 1),CST4,0,8322,5147,0,96488,14379,12338,7163,27677
P01042,"Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen, HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor ]",KNG1,52517,48922,1582,37921,16883,56747,21371,1963,1471
P01591,Immunoglobulin J chain (Joining chain of multimeric IgA and IgM),JCHAIN,55371,2153,8682,133,177,41213,21179,838,39714
P01594,Immunoglobulin kappa variable 1-33 (Ig kappa chain V-I region AU) (Ig kappa chain V-I region Ka),IGKV1-33,1282,17442,16963,25687,236,24237,37253,65512,872
P01599,Immunoglobulin kappa variable 1-17 (Ig kappa chain V-I region Gal) (Ig kappa chain V-I region WEA),IGKV1-17,75163,1963,11843,13897,11555,18572,48472,8793,484
P01602,Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue),IGKV1-5,64387,11734,1841,41657,19253,153,1195,83774,55835
P01619,Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL),IGKV3-20,3999,41891,949,97667,6676,66733,28712,36,28534
P01700,Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH),IGLV1-47,7238,11344,1984,24383,14195,73446,2368,98494,27535
P01701,Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64),IGLV1-51,91313,18592,19733,17934,32743,9369,9114,84537,45452
P01703,Immunoglobulin lambda variable 1-40 (Ig lambda chain V-I region NEWM),IGLV1-40,41657,4983,54837,56542,1321,56447,4628,29231,1717
P01704,Immunoglobulin lambda variable 2-14 (Ig lambda chain V-II region NIG-84) (Ig lambda chain V-II region TOG) (Ig lambda chain V-II region VIL),IGLV2-14,13174,5869,25156,12498,15952,15696,0,0,13877
P01706,Immunoglobulin lambda variable 2-11 (Ig gamma lambda chain V-II region DOT) (Ig lambda chain V-II region BOH) (Ig lambda chain V-II region BUR) (Ig lambda chain V-II region NIG-58) (Ig lambda chain V-II region TRO) (Ig lambda chain V-II region WIN),IGLV2-11,29246,72823,0,24838,13514,64728,1165,6382,8461
P01714,Immunoglobulin lambda variable 3-19 (Ig lambda chain V-III region SH),IGLV3-19,3512,2215,13441,28877,4822,33631,11424,1241,66998
P01717,Immunoglobulin lambda variable 3-25 (Ig lambda chain V-IV region Hil),IGLV3-25,13489,1576,15642,29243,28612,1864,12217,4796,66996
P01764,Immunoglobulin heavy variable 3-23 (Ig heavy chain V-III region LAY) (Ig heavy chain V-III region POM) (Ig heavy chain V-III region TEI) (Ig heavy chain V-III region TIL) (Ig heavy chain V-III region TUR) (Ig heavy chain V-III region VH26) (Ig heavy chain V-III region WAS) (Ig heavy chain V-III region ZAP),IGHV3-23,24141,29972,3178,4759,371,64638,11937,18194,39133
P01780,Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON),IGHV3-7,21821,439,39432,2425,34343,1925,24624,7652,88752
P01817,Immunoglobulin heavy variable 2-5 (Ig heavy chain V-II region HE) (Ig heavy chain V-II region MCE),IGHV2-5,41945,4952,98825,1333,13416,266,0,64233,33613
P01824,Immunoglobulin heavy variable 4-39 (Ig heavy chain V-II region WAH),IGHV4-39,1334,23819,33843,16476,2939,17917,44395,14244,5723
P01833,"Polymeric immunoglobulin receptor, PIgR, Poly-Ig receptor (Hepatocellular carcinoma-associated protein TB6) [Cleaved into: Secretory component ]",PIGR,75379,31418,25381,72845,751,16359,47665,2975,21142
P01834,Immunoglobulin kappa constant (Ig kappa chain C region) (Ig kappa chain C region AG) (Ig kappa chain C region CUM) (Ig kappa chain C region EU) (Ig kappa chain C region OU) (Ig kappa chain C region ROY) (Ig kappa chain C region TI),IGKC,77695,682,11347,62953,6886,8615,67,36573,3512
P01857,Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE),IGHG1,87137,69118,1643,84254,91753,18287,79222,57763,44348
P01859,Immunoglobulin heavy constant gamma 2 (Ig gamma-2 chain C region) (Ig gamma-2 chain C region DOT) (Ig gamma-2 chain C region TIL) (Ig gamma-2 chain C region ZIE),IGHG2,16221,11297,8589,37287,3933,32294,1335,16746,17727
P01860,Immunoglobulin heavy constant gamma 3 (HDC) (Heavy chain disease protein) (Ig gamma-3 chain C region),IGHG3,2768,7141,8559,58946,1877,19435,4732,4795,91776
P01861,Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region),IGHG4,55643,27672,36488,49832,1598,128,71345,6361,1228
P01871,Immunoglobulin heavy constant mu (Ig mu chain C region) (Ig mu chain C region BOT) (Ig mu chain C region GAL) (Ig mu chain C region OU),IGHM,2724,3297,2967,32484,27645,1151,7429,36997,2534
P01876,Immunoglobulin heavy constant alpha 1 (Ig alpha-1 chain C region) (Ig alpha-1 chain C region BUR) (Ig alpha-1 chain C region TRO),IGHA1,8816,1852,68772,21499,79656,2221,49624,4132,3223
P01877,Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN),IGHA2,59413,1124,3676,1447,15672,33712,23489,51515,2167
P01903,"HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)",HLA-DRA,4183,23994,63168,61688,9591,742,11437,1223,58652
P02042,Hemoglobin subunit delta (Delta-globin) (Hemoglobin delta chain),HBD,31316,16858,8142,13863,1138,11797,31749,262,28179
P02545,Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32) ],LMNA,48982,1691,1778,5516,31243,13881,28425,84385,1272
P02647,"Apolipoprotein A-I, Apo-AI, ApoA-I (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I, ProapoA-I; Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242)) ]",APOA1,13736,13764,7759,23776,86385,46278,12465,25,1274
P02649,"Apolipoprotein E, Apo-E",APOE,11411,64753,5616,9322,59958,22938,17236,2414,31433
P02652,"Apolipoprotein A-II, Apo-AII, ApoA-II (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II, ProapoA-II; Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76)) ]",APOA2,6747,7332,39391,5322,11239,75583,51266,48872,17928
P02654,"Apolipoprotein C-I, Apo-CI, ApoC-I (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I ]",APOC1,21565,16317,3417,85,5391,2481,159,87213,63653
P02671,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain ],FGA,27565,35675,24259,14814,22175,72677,1427,58214,6178
