Uniprot_Id,Protein_Name,Gene_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
O00764,Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase),PDXK C21orf124 C21orf97 PKH PNK PRED79,0.592985077,0.543671898,0.584413122,0.588162761,0.552531936,0.5955482,0.573813137,0.547992143,0.588032493,0.590636522,0.561798128,0.596167377,0.653926113,0.578980305,0.570461348,0.550931965,0.600701413,0.569792673,0.559435462,0.541876525,0.566696945,0.5819533,0.542828891,0.548963676,0.589274767,0.593650854,0.565107049,0.535448943,0.57417543,0.587625098
O14494,Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.6.1.75) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a),PLPP1 LPP1 PPAP2A,0.603339959,0.591587643,0.548255002,0.55371115,0.620018059,0.546077704,0.578399027,0.584694401,0.559687042,0.57618426,0.651408542,0.598437076,0.615747846,0.622852754,0.68996724,0.577814931,0.580877763,0.579048991,0.562331977,0.558425539,0.538548057,0.571338629,0.566195621,0.577951505,0.536017376,0.633853914,0.573672746,0.56384856,0.58533877,0.559025843
O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)",GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35,0.599066096,0.499463309,0.577259924,0.737410869,0.651047194,0.677413486,0.59786199,0.436492999,0.512802466,0.555536144,0.578506512,0.558018452,0.413173148,0.619045697,0.686849192,0.654463198,0.487398433,0.620532742,0.636873389,0.567500623,0.521958241,0.593948395,0.468413016,0.440778645,0.532798931,0.721322791,0.48441838,0.507339809,0.45366537,0.475579925
O14672,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),ADAM10 KUZ MADM,0.608860578,0.594922002,0.573795297,0.606519573,0.565627836,0.645403858,0.594618237,0.506284116,0.583806422,0.55472334,0.506618083,0.343146387,0.53432655,0.506400776,0.581971139,0.606067038,0.609643678,0.611884451,0.509179049,0.564887971,0.606603459,0.537411989,0.558417511,0.478536984,0.580879651,0.681310071,0.55760898,0.508650344,0.640030435,0.545191758
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1),SLC9A3R1 NHERF NHERF1,0.593954738,0.543567269,0.600002614,0.606261776,0.599677193,0.614580165,0.599928021,0.564381165,0.568473068,0.566497404,0.535811437,0.575401432,0.525372752,0.57795582,0.521409125,0.566062781,0.625426498,0.602958166,0.559316318,0.570578568,0.547024593,0.567011413,0.550500836,0.587049163,0.577883218,0.582677406,0.587463463,0.551658921,0.58830255,0.5872591
O14773,Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I),TPP1 CLN2 GIG1 UNQ267/PRO304,0.58116854,0.627445566,0.624392486,0.607732475,0.590021276,0.641290299,0.624381285,0.565117634,0.585746749,0.574597897,0.570716413,0.607700198,0.592834979,0.589078204,0.603523496,0.533524282,0.574299276,0.605225856,0.551333638,0.563763264,0.555350285,0.572353556,0.533924296,0.514013148,0.560561164,0.606725762,0.573369396,0.551684448,0.563443734,0.591404024
O14786,Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304),NRP1 NRP VEGF165R,0.558617684,0.634336486,0.629593741,0.637456857,0.577027101,0.630342158,0.66958887,0.638073928,0.605832141,0.610131975,0.574796202,0.572787452,0.53874014,0.576732049,0.665141676,0.574161292,0.577883218,0.623329932,0.534566674,0.563542314,0.573990533,0.557218093,0.560770671,0.523019747,0.521742345,0.578891259,0.595367817,0.560047065,0.530817698,0.546739054
O14818,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7),PSMA7 HSPC,0.587782744,0.580200243,0.630839831,0.648184288,0.628738454,0.662123693,0.6289697,0.585796201,0.555164508,0.592909572,0.494447334,0.564421655,0.536156771,0.554517483,0.592164639,0.57802253,0.565088677,0.615301119,0.57157867,0.577743906,0.562789408,0.563137646,0.565645675,0.575649498,0.567896571,0.631724408,0.567234943,0.563777867,0.581008402,0.603933798
O15230,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),LAMA5 KIAA0533 KIAA1907,0.592710809,0.629622242,0.574428507,0.601572839,0.613555488,0.647628742,0.618983591,0.578079823,0.455106157,0.592969603,0.564069974,0.557321685,0.561100448,0.544102985,0.581426877,0.564588722,0.580848886,0.58689323,0.557860264,0.553660412,0.590219292,0.59122111,0.531684477,0.549548595,0.556223287,0.622954769,0.577686613,0.52688921,0.515010111,0.620848081
O15296,Polyunsaturated fatty acid lipoxygenase ALOX15B (15-lipoxygenase 2) (15-LOX-2) (Arachidonate 15-lipoxygenase B) (15-LOX-B) (EC 1.13.11.33) (Arachidonate 15-lipoxygenase type II) (Linoleate 13-lipoxygenase 15-LOb) (EC 1.13.11.-),ALOX15B,0.711396755,0.624132075,0.561429436,0.485502538,0.60892094,0.665240787,0.526433273,0.571289218,0.437030126,0.456423687,0.467469902,0.58002901,0.570303165,0.561203773,0.521594528,0.580418338,0.593853681,0.583149897,0.582629904,0.511393644,0.575857802,0.463686327,0.531084167,0.586149874,0.5854758,0.579908634,0.584838981,0.526860657,0.627051817,0.558411155
O15393,Transmembrane protease serine 2 (EC 3.4.21.-) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain],TMPRSS2 PRSS10,0.582937444,0.56068496,0.614346928,0.613569718,0.584703777,0.595141964,0.551540822,0.578293354,0.515481689,0.560367173,0.567368032,0.624907169,0.596168425,0.588717022,0.545073065,0.577473082,0.585738535,0.604171516,0.561946069,0.554186918,0.607680699,0.546146406,0.533810623,0.561418111,0.519177064,0.60821737,0.547171456,0.521054663,0.596434437,0.587627501
O43175,D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37),PHGDH PGDH3,0.612028824,0.567785304,0.573241452,0.560781375,0.599137536,0.595630427,0.606081973,0.549737068,0.543503213,0.553513259,0.595672162,0.623766952,0.566165004,0.571039925,0.553431614,0.585015922,0.606152583,0.602626307,0.597974418,0.583707435,0.5959975,0.597783746,0.57468087,0.540959754,0.551917935,0.581085567,0.561964572,0.530250494,0.600452743,0.541782018
O43278,Kunitz-type protease inhibitor 1 (Hepatocyte growth factor activator inhibitor type 1) (HAI-1),SPINT1 HAI1 UNQ223/PRO256,0.611643331,0.581867174,0.599744816,0.617961238,0.620722169,0.616652834,0.556552151,0.573899263,0.55185753,0.589348613,0.542163778,0.562005063,0.583775639,0.568241407,0.547239826,0.61326836,0.591071053,0.596858263,0.527273915,0.541443571,0.582635837,0.56652461,0.557652706,0.547944019,0.52947901,0.634939534,0.560058347,0.51318491,0.60387049,0.619895259
O43286,"Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)",B4GALT5,0.576074321,0.571500094,0.604361027,0.683318104,0.641440065,0.679006654,0.370574736,0.601394737,0.613589881,0.584813135,0.537312216,0.563839765,0.543758936,0.555956569,0.63413735,0.52809369,0.54106372,0.570640327,0.579692116,0.609640276,0.55641956,0.596120715,0.561539168,0.528741876,0.549713089,0.583616994,0.620720178,0.58835028,0.575964464,0.527168088
O43291,Kunitz-type protease inhibitor 2 (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin),SPINT2 HAI2 KOP,0.584732236,0.58473066,0.678092705,0.607359013,0.697062191,0.691417694,0.613282714,0.571035777,0.533452096,0.528838789,0.436863391,0.399239883,0.458704246,0.587376839,0.542555328,0.584923489,0.553327731,0.586480895,0.460670377,0.521953511,0.521706168,0.52534396,0.487911124,0.486800943,0.648018342,0.692056919,0.617615323,0.497418436,0.598451763,0.588311615
O43451,"Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)",MGAM MGA MGAML,0.54144523,0.570394975,0.594863423,0.665167895,0.650592667,0.635907001,0.571789836,0.564314537,0.565898826,0.577577213,0.581919779,0.591235837,0.587217448,0.636275153,0.59268878,0.594625124,0.4874444,0.587994657,0.55527063,0.535143005,0.527451727,0.59972847,0.587567429,0.517966154,0.576945124,0.646005911,0.537349593,0.573443408,0.578189223,0.567745725
O43653,Prostate stem cell antigen,PSCA UNQ206/PRO232,0.609016401,0.585365725,0.61624079,0.625754324,0.655727128,0.645523858,0.593670103,0.550976853,0.609471343,0.572298364,0.519646443,0.585878721,0.579489246,0.577883218,0.595211004,0.510811297,0.633643411,0.502473989,0.485052202,0.552520029,0.531460574,0.565963545,0.571415877,0.536614778,0.579067906,0.654761486,0.594345837,0.536732937,0.568774707,0.505644725
O43657,Tetraspanin-6 (Tspan-6) (A15 homolog) (Putative NF-kappa-B-activating protein 321) (T245 protein) (Tetraspanin TM4-D) (Transmembrane 4 superfamily member 6),TSPAN6 TM4SF6 UNQ767/PRO1560,0.578900386,0.568863291,0.566239431,0.649542559,0.624029562,0.61910801,0.587583848,0.57686605,0.535895987,0.583887321,0.478704673,0.576581296,0.552003853,0.518533027,0.568747189,0.575095072,0.579454647,0.606874532,0.532679782,0.562024146,0.59619647,0.603693093,0.531688833,0.603451309,0.56568311,0.609402226,0.532846309,0.533713725,0.578168421,0.580049643
O43692,Peptidase inhibitor 15 (PI-15) (25 kDa trypsin inhibitor) (p25TI) (Cysteine-rich secretory protein 8) (CRISP-8) (SugarCrisp),PI15 CRISP8 P25TI,0.641279927,0.620100866,0.631496315,0.595133335,0.592004666,0.599249632,0.49579042,0.568227245,0.542866918,0.598432845,0.577326966,0.596586541,0.549405591,0.538297229,0.638734726,0.54590429,0.576664467,0.526804702,0.528895459,0.535604253,0.476229999,0.471213111,0.489575482,0.570257903,0.57843947,0.671761107,0.621477308,0.522205532,0.638100064,0.530458653
O43707,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,0.589192997,0.510622409,0.566133848,0.615486522,0.557220873,0.606056708,0.593392932,0.575268029,0.569358931,0.554067727,0.57721292,0.625714954,0.642554436,0.615022702,0.608723796,0.56145549,0.593443794,0.599683374,0.586238904,0.558312882,0.544701636,0.578553517,0.587735076,0.554539347,0.578825005,0.571476903,0.572822894,0.539074397,0.561248638,0.617173615
O60568,"Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]",PLOD3,0.607321467,0.68789677,0.617878389,0.647956403,0.62660119,0.649108153,0.646364065,0.570071172,0.575525661,0.569957416,0.509448753,0.580772385,0.545745438,0.584544676,0.605888355,0.570850954,0.617187389,0.633752147,0.564132784,0.566244368,0.568720038,0.544560581,0.530809525,0.552865861,0.556419518,0.599150438,0.600099983,0.57038423,0.540686068,0.580240776
O60635,Tetraspanin-1 (Tspan-1) (Tetraspan NET-1) (Tetraspanin TM4-C),TSPAN1,0.614381279,0.582233002,0.526788688,0.543806231,0.642223,0.738411525,0.577883218,0.581022424,0.504780311,0.539599327,0.64222914,0.699303876,0.611758912,0.618781095,0.674840406,0.534858407,0.528366423,0.563179713,0.540461086,0.461310183,0.597310135,0.566927942,0.501642267,0.445798022,0.513239672,0.596279941,0.60975063,0.492976718,0.614313987,0.556823643
O60701,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),UGDH,0.648083061,0.591308688,0.595484477,0.597235874,0.571273578,0.703330065,0.591576442,0.504032391,0.575116977,0.600576705,0.500071502,0.588614384,0.502680842,0.582482171,0.569377831,0.593113685,0.559017366,0.575103867,0.577706485,0.547905519,0.571503911,0.599185826,0.556036804,0.595508207,0.622492567,0.578059951,0.572849652,0.528788969,0.561863676,0.551409392
O60888,Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor),CUTA ACHAP C6orf82,0.594268464,0.627125497,0.632814551,0.630981259,0.621731164,0.638002281,0.629994376,0.556990041,0.559129006,0.57712613,0.57727042,0.605946685,0.614422392,0.579748081,0.611367901,0.529632634,0.571897328,0.602168669,0.522580332,0.518846955,0.535508129,0.551065261,0.521211607,0.481089114,0.595963191,0.588631103,0.578496016,0.554996446,0.532200902,0.553596606
O75083,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1),WDR1,0.570118882,0.605452111,0.607782549,0.611028043,0.621479009,0.638586105,0.647801575,0.557644451,0.573440424,0.573573552,0.564068314,0.586725331,0.601434191,0.591567688,0.646763,0.57301564,0.585865525,0.566240302,0.542436884,0.582192885,0.561088002,0.553179168,0.568245763,0.553945508,0.61683774,0.604232377,0.593916326,0.562678514,0.572070178,0.545029346
O75369,Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP),FLNB FLN1L FLN3 TABP TAP,0.607391787,0.583440427,0.599888692,0.620435331,0.597425219,0.63945485,0.575919908,0.58924108,0.577883218,0.564819879,0.518327419,0.587197037,0.524017302,0.560989222,0.537738239,0.548793083,0.608092412,0.60207827,0.571651437,0.574698341,0.569798127,0.563842918,0.561715071,0.582325626,0.554916999,0.603401691,0.560682388,0.543372787,0.681469712,0.57757839
O75503,"Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]",CLN5,0.546554882,0.555982706,0.676750033,0.635644557,0.617914773,0.558346113,0.61739702,0.551087456,0.544762663,0.542791719,0.554606098,0.577883218,0.611562017,0.56000848,0.55812806,0.512545436,0.551499169,0.558638344,0.583243864,0.5985929,0.579513392,0.592532459,0.57270362,0.60010716,0.426373926,0.587745904,0.597456749,0.588667072,0.601445019,0.526207296
O75610,Left-right determination factor 1 (Left-right determination factor B) (Protein lefty-1) (Protein lefty-B),LEFTY1 LEFTB LEFTYB UNQ278/PRO317,0.491938889,0.640543457,0.657008399,0.616980827,0.636096014,0.598382397,0.560794899,0.607022225,0.556391681,0.602604568,0.634791178,0.577883218,0.536691367,0.649895775,0.607593661,0.549870738,0.498697965,0.500949856,0.530089775,0.558332007,0.467621867,0.518384754,0.549414635,0.588756019,0.452894798,0.590692944,0.533631318,0.598192555,0.553572378,0.656522508
O75629,Protein CREG1 (Cellular repressor of E1A-stimulated genes 1),CREG1 CREG UNQ727/PRO1409,0.577883218,0.605160473,0.647546889,0.664763567,0.609104767,0.662407628,0.675283815,0.549615347,0.596464971,0.566898155,0.591320699,0.61287598,0.642173797,0.675677688,0.645855896,0.542909872,0.569095616,0.629530349,0.571977273,0.574772721,0.53609396,0.52815675,0.516713674,0.528992756,0.539177077,0.634503179,0.547505423,0.529561651,0.528378205,0.551098201
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),IDH1 PICD,0.588273903,0.553466006,0.594985601,0.577342524,0.580848056,0.618280062,0.563741483,0.569127021,0.579279532,0.572415993,0.559269811,0.571410276,0.557504558,0.560976818,0.568517666,0.5892154,0.606106574,0.587689192,0.586307689,0.578423913,0.583965274,0.58624131,0.574472483,0.608088471,0.545716729,0.576304447,0.549954168,0.556749253,0.600743356,0.604229722
O75882,Attractin (DPPT-L) (Mahogany homolog),ATRN KIAA0548 MGCA,0.600674613,0.599805884,0.644940287,0.657293827,0.641153476,0.674470595,0.604957521,0.579442781,0.56100673,0.575740437,0.581995284,0.571501173,0.505083246,0.609755775,0.587848957,0.583905409,0.538789426,0.616894784,0.571344271,0.564389794,0.594383506,0.574110512,0.569632784,0.57570816,0.559834153,0.637543978,0.576323655,0.549267192,0.56055295,0.329168317
O75969,A-kinase anchor protein 3 (AKAP-3) (A-kinase anchor protein 110 kDa) (AKAP 110) (Cancer/testis antigen 82) (CT82) (Fibrous sheath protein of 95 kDa) (FSP95) (Fibrousheathin I) (Fibrousheathin-1) (Protein kinase A-anchoring protein 3) (PRKA3) (Sperm oocyte-binding protein),AKAP3 AKAP110 SOB1,0.654044598,0.595620387,0.55932503,0.779951116,0.69289362,0.658027392,0.577883218,0.526735233,0.537034544,0.568613044,0.540584384,0.581747277,0.51345562,0.561494612,0.706392355,0.55252256,0.545695465,0.600156031,0.639338853,0.56069251,0.409049217,0.637889064,0.515134778,0.54789465,0.545999958,0.744299465,0.521127908,0.634506,0.520180458,0.535792892
O75976,Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D) (gp180),CPD,0.635346061,0.619080836,0.515627017,0.666932526,0.576473048,0.726346856,0.638681001,0.614824646,0.556376061,0.572265972,0.56109005,0.570442231,0.579293388,0.562833004,0.505270226,0.519084425,0.5912781,0.586673435,0.499493221,0.484502214,0.585197093,0.522016778,0.46259523,0.558808398,0.569867058,0.670916399,0.602843656,0.542751785,0.574601266,0.548564699
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)",DDAH1 DDAH,0.591945838,0.55462958,0.609064111,0.552662784,0.571155341,0.631572733,0.637454284,0.578191961,0.551988047,0.602694014,0.577574475,0.633168556,0.573395746,0.546974976,0.554937161,0.588930677,0.621933162,0.601556535,0.576658784,0.559266534,0.613344197,0.558538694,0.600432249,0.600790444,0.56719719,0.577558129,0.566294716,0.542909787,0.583097923,0.577345469
O94985,Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)],CLSTN1 CS1 KIAA0911,0.581868999,0.593907655,0.597014751,0.589815669,0.609646582,0.641945704,0.543498899,0.577883218,0.572035437,0.596830716,0.596362997,0.532960397,0.600164826,0.647833146,0.472338808,0.586406137,0.577406703,0.589986096,0.563542887,0.563076329,0.574616483,0.581576353,0.530479334,0.555496815,0.502873671,0.602090799,0.577034486,0.540851723,0.546160096,0.568708255
O95336,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),PGLS,0.591597102,0.609988763,0.577883218,0.581287025,0.608570255,0.527871986,0.577002624,0.551095256,0.572657381,0.552227756,0.547268369,0.551245935,0.579497627,0.504522762,0.523461714,0.592301959,0.612526414,0.593779628,0.549306521,0.579512396,0.559553953,0.575219282,0.590119434,0.579946179,0.569439539,0.592796396,0.554641943,0.555761168,0.580158259,0.597327062
O95394,Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3),PGM3 AGM1,0.594246481,0.563214582,0.587811765,0.57280298,0.576223465,0.611614415,0.550266893,0.562402565,0.560827901,0.58779631,0.558999236,0.544257232,0.548100216,0.542122333,0.533080666,0.584597861,0.602686886,0.598076594,0.61077846,0.580599966,0.579542971,0.623289317,0.580425806,0.596129635,0.575661654,0.573401963,0.556389814,0.596816238,0.621277218,0.568786462
